window_start,window_end,VaR_95,ES_95,Max_Drawdown,Sector_Contributions
2006-08-24,2008-09-02,0.057659986304294655,0.06614680309803489,-0.999999681415197,"{'Consumer': -0.003386629378953158, 'Energy': -0.006907883690812638, 'Finance': -0.008801710405928715, 'IT': -0.006098101778619391, 'Pharma': -0.00397848168760681}"
2006-09-22,2008-10-03,0.05863894418535253,0.06677319508097325,-0.9999997964291382,"{'Consumer': -0.00330173158277111, 'Energy': -0.00695335741399828, 'Finance': -0.009246305303403838, 'IT': -0.006569189213198992, 'Pharma': -0.003989741785521957}"
2006-10-26,2008-11-06,0.06535091890946626,0.07661483462319003,-0.9999999808206125,"{'Consumer': -0.0037389265319942647, 'Energy': -0.007815652486723597, 'Finance': -0.01041611197315598, 'IT': -0.007931513272588994, 'Pharma': -0.004642391447639111}"
2006-11-24,2008-12-08,0.06711805988204482,0.07852812128152128,-0.9999999904683733,"{'Consumer': -0.003765493287581853, 'Energy': -0.00808101547124472, 'Finance': -0.010937205373907483, 'IT': -0.008298919331694582, 'Pharma': -0.004788910486049601}"
2006-12-26,2009-01-12,0.06821984218577899,0.07966860361073573,-0.999999992559311,"{'Consumer': -0.0036248701021243555, 'Energy': -0.008075666175317556, 'Finance': -0.011190196673036426, 'IT': -0.008584298075648289, 'Pharma': -0.004851692476628195}"
2007-01-25,2009-02-11,0.06869986965718464,0.08006938875435422,-0.9999999940143044,"{'Consumer': -0.003577360114939397, 'Energy': -0.008135216818962227, 'Finance': -0.011419093080638647, 'IT': -0.00871818805955032, 'Pharma': -0.004940685590695096}"
2007-02-28,2009-03-17,0.06868074696799521,0.08020489223900604,-0.9999999946696624,"{'Consumer': -0.0034112062725257957, 'Energy': -0.008245079357632178, 'Finance': -0.011699732964549736, 'IT': -0.008798176911997484, 'Pharma': -0.004895062793570569}"
2007-03-30,2009-04-21,0.06828571002683605,0.08016317072881521,-0.9999999937711986,"{'Consumer': -0.00325450085246626, 'Energy': -0.008159497102309654, 'Finance': -0.011841990146532956, 'IT': -0.008611246530057858, 'Pharma': -0.0047921625112256555}"
2007-05-03,2009-05-21,0.007809802027196356,0.00418789035155829,-0.05880017809545008,"{'Consumer': 0.003570063632716158, 'Energy': 0.00897690309218615, 'Finance': 0.012849795701010766, 'IT': 0.008723574867721441, 'Pharma': 0.005218830357151024}"
2007-06-01,2009-06-19,0.00808261621159245,0.003571966112256038,-0.058021490430323654,"{'Consumer': 0.0035846774616560555, 'Energy': 0.008949392408735421, 'Finance': 0.012927667914212931, 'IT': 0.009097580333606763, 'Pharma': 0.005334418884532195}"
2007-07-02,2009-07-20,0.008266647683164308,0.00342357233820881,-0.0571494899024131,"{'Consumer': 0.003600043492660352, 'Energy': 0.008991752974145256, 'Finance': 0.013100113004577875, 'IT': 0.0094126645597682, 'Pharma': 0.005443780693941936}"
2007-07-31,2009-08-18,0.008380279550193416,0.0031652238893661168,-0.05678266408242897,"{'Consumer': 0.003667045066137801, 'Energy': 0.009002335546192796, 'Finance': 0.013162481469581926, 'IT': 0.009527442183443556, 'Pharma': 0.005545018582794392}"
2007-08-30,2009-09-16,0.008633537697608913,0.0034041914156156096,-0.057373043645415955,"{'Consumer': 0.003601090574376377, 'Energy': 0.008969379076007552, 'Finance': 0.01309438557695758, 'IT': 0.00959898672803547, 'Pharma': 0.005527560573737986}"
